-1.0 1.0 0.0 0.0 0.0 0.0
-1.0 -1.0 0.0 0.0 0.0 0.0
1.0 1.0 0.0 0.0 0.0 0.0
1.0 1.0 0.0 0.0 0.0 0.0
1.0 -1.0 0.0 0.0 0.0 0.0
-1.0 -1.0 0.0 0.0 0.0 0.0
0.1 0.8 0.0 1.0 0.0 0.0
0.2 0.8 0.0 0.0 1.0 0.0
-0.3 -0.4 0.0 0.0 1.0 0.0
0.2 -0.4 0.0 0.0 1.0 0.0
0.9 0.5 0.0 0.0 1.0 0.0
0.9 0.5 0.0 0.0 1.0 0.0
0.4 0.5 0.0 0.0 1.0 0.0
-0.3 -0.4 0.0 0.0 1.0 0.0
0.16 0.2 0.0 1.0 0.0 0.0
0.67 0.2 0.0 1.0 0.0 0.0
0.045 0.05 0.0 1.0 0.0 0.0
0.55 0.05 0.0 1.0 0.0 0.0
-0.07 -0.1 0.0 1.0 0.0 0.0
0.43 -0.1 0.0 1.0 0.0 0.0
0.045 0.05 0.0 0.0 0.0 1.0
0.045 0.18 0.0 0.0 0.0 1.0
0.55 0.05 0.0 0.0 0.0 1.0
0.55 0.18 0.0 0.0 0.0 1.0
0.045 0.1 0.0 1.0 1.0 1.0
0.045 0.18 0.0 1.0 1.0 1.0
0.55 0.18 0.0 1.0 1.0 1.0
0.55 0.18 0.0 1.0 1.0 1.0
0.55 0.1 0.0 1.0 1.0 1.0
0.045 0.1 0.0 1.0 1.0 1.0
